species_code,n_records,percentile,last_sync
chsgos1,0,0.9774,2025-04-27T17:52:55.782Z
berhaw1,0,0.9866,2025-04-27T17:52:55.782Z
cobowl1,0,0.9957,2025-04-27T17:52:55.782Z
manowl2,0,1.0048,2025-04-27T17:52:55.782Z
reusco1,0,1.0140,2025-04-27T17:52:55.782Z
sulsco2,0,1.0231,2025-04-27T17:52:55.782Z
rodsco1,0,1.0322,2025-04-27T17:52:55.782Z
mausco1,0,1.0414,2025-04-27T17:52:55.782Z
perpyo1,0,1.0505,2025-04-27T17:52:55.782Z
lauowl1,0,1.0597,2025-04-27T17:52:55.782Z
bswowl1,0,1.0688,2025-04-27T17:52:55.782Z
sthhoo1,0,1.0779,2025-04-27T17:52:55.782Z
sulhor2,0,1.0871,2025-04-27T17:52:55.782Z
suldwk1,0,1.0962,2025-04-27T17:52:55.782Z
sirbar1,0,1.1053,2025-04-27T17:52:55.782Z
impwoo1,0,1.1145,2025-04-27T17:52:55.782Z
berfli1,0,1.1236,2025-04-27T17:52:55.782Z
reukes1,0,1.1327,2025-04-27T17:52:55.782Z
noikak1,0,1.1419,2025-04-27T17:52:55.782Z
guacar2,0,1.1510,2025-04-27T17:52:55.782Z
ocepar1,0,1.1601,2025-04-27T17:52:55.782Z
bwrtai1,0,1.1693,2025-04-27T17:52:55.782Z
seypar2,0,1.1784,2025-04-27T17:52:55.782Z
maspar1,0,1.1875,2025-04-27T17:52:55.782Z
rodpar1,0,1.1967,2025-04-27T17:52:55.782Z
bllpar1,0,1.2058,2025-04-27T17:52:55.782Z
brbpar3,0,1.2149,2025-04-27T17:52:55.782Z
newpar2,0,1.2241,2025-04-27T17:52:55.782Z
azrpar8,0,1.2332,2025-04-27T17:52:55.782Z
magpar1,0,1.2423,2025-04-27T17:52:55.782Z
blfpar2,0,1.2515,2025-04-27T17:52:55.782Z
recpar23,0,1.2606,2025-04-27T17:52:55.782Z
raipar1,0,1.2698,2025-04-27T17:52:55.782Z
parpar2,0,1.2789,2025-04-27T17:52:55.782Z
neclor1,0,1.2880,2025-04-27T17:52:55.782Z
blflor1,0,1.2972,2025-04-27T17:52:55.782Z
retlor1,0,1.3063,2025-04-27T17:52:55.782Z
whnlor2,0,1.3154,2025-04-27T17:52:55.782Z
railor3,0,1.3246,2025-04-27T17:52:55.782Z
minlor1,0,1.3337,2025-04-27T17:52:55.782Z
blelor1,0,1.3428,2025-04-27T17:52:55.782Z
wahpar2,0,1.3520,2025-04-27T17:52:55.782Z
guapar1,0,1.3611,2025-04-27T17:52:55.782Z
carpar,0,1.3702,2025-04-27T17:52:55.782Z
glamac1,0,1.3794,2025-04-27T17:52:55.782Z
spimac1,0,1.3885,2025-04-27T17:52:55.782Z
cubmac1,0,1.3976,2025-04-27T17:52:55.782Z
purpar2,0,1.4068,2025-04-27T17:52:55.782Z
gurpit1,0,1.4159,2025-04-27T17:52:55.782Z
buswre1,0,1.4250,2025-04-27T17:52:55.782Z
stiwre1,0,1.4342,2025-04-27T17:52:55.782Z
guapar2,0,1.4433,2025-04-27T17:52:55.782Z
rdjant2,0,1.4525,2025-04-27T17:52:55.782Z
tacant1,0,1.4616,2025-04-27T17:52:55.782Z
alfgle1,0,1.4707,2025-04-27T17:52:55.782Z
crytre1,0,1.4799,2025-04-27T17:52:55.782Z
deasof1,0,1.4890,2025-04-27T17:52:55.782Z
kincal1,0,1.4981,2025-04-27T17:52:55.782Z
gofbow1,0,1.5073,2025-04-27T17:52:55.782Z
norcat1,0,1.5164,2025-04-27T17:52:55.782Z
chibel1,0,1.5255,2025-04-27T17:52:55.782Z
washon1,0,1.5347,2025-04-27T17:52:55.782Z
huomel1,0,1.5438,2025-04-27T17:52:55.782Z
guahon1,0,1.5529,2025-04-27T17:52:55.782Z
brafri1,0,1.5621,2025-04-27T17:52:55.782Z
neifri1,0,1.5712,2025-04-27T17:52:55.782Z
lohger1,0,1.5803,2025-04-27T17:52:55.782Z
gracus1,0,1.5895,2025-04-27T17:52:55.782Z
vartri3,0,1.5986,2025-04-27T17:52:55.782Z
papwhi1,0,1.6077,2025-04-27T17:52:55.782Z
guhwhi1,0,1.6169,2025-04-27T17:52:55.782Z
litshr4,0,1.6260,2025-04-27T17:52:55.782Z
gobwhi1,0,1.6352,2025-04-27T17:52:55.782Z
noipio1,0,1.6443,2025-04-27T17:52:55.782Z
soipio1,0,1.6534,2025-04-27T17:52:55.782Z
malfan1,0,1.6626,2025-04-27T17:52:55.782Z
brnfan2,0,1.6717,2025-04-27T17:52:55.782Z
carpar3,0,1.6808,2025-04-27T17:52:55.782Z
maumon1,0,1.6900,2025-04-27T17:52:55.782Z
eiamon1,0,1.6991,2025-04-27T17:52:55.782Z
ogemon1,0,1.7082,2025-04-27T17:52:55.782Z
vanmon1,0,1.7174,2025-04-27T17:52:55.782Z
bktshr2,0,1.7265,2025-04-27T17:52:55.782Z
uapmon1,0,1.7356,2025-04-27T17:52:55.782Z
nuhmon1,0,1.7448,2025-04-27T17:52:55.782Z
guafly1,0,1.7539,2025-04-27T17:52:55.782Z
shtmag1,0,1.7630,2025-04-27T17:52:55.782Z
satber1,0,1.7722,2025-04-27T17:52:55.782Z
yebsat1,0,1.7813,2025-04-27T17:52:55.782Z
huia1,0,1.7904,2025-04-27T17:52:55.782Z
runlar2,0,1.7996,2025-04-27T17:52:55.782Z
korlar1,0,1.8087,2025-04-27T17:52:55.782Z
ashlar1,0,1.8178,2025-04-27T17:52:55.782Z
ruslar1,0,1.8270,2025-04-27T17:52:55.782Z
obblar1,0,1.8361,2025-04-27T17:52:55.782Z
chtapa2,0,1.8453,2025-04-27T17:52:55.782Z
tarcis1,0,1.8544,2025-04-27T17:52:55.782Z
sltcis1,0,1.8635,2025-04-27T17:52:55.782Z
albwar1,0,1.8727,2025-04-27T17:52:55.782Z
narwar1,0,1.8818,2025-04-27T17:52:55.782Z
nigrew1,0,1.8909,2025-04-27T17:52:55.782Z
agurew1,0,1.9001,2025-04-27T17:52:55.782Z
soirew1,0,1.9092,2025-04-27T17:52:55.782Z
moorew1,0,1.9183,2025-04-27T17:52:55.782Z
manrew2,0,1.9275,2025-04-27T17:52:55.782Z
guathi1,0,1.9366,2025-04-27T17:52:55.782Z
pagrew1,0,1.9457,2025-04-27T17:52:55.782Z
chifer1,0,1.9549,2025-04-27T17:52:55.782Z
bisthi1,0,1.9640,2025-04-27T17:52:55.782Z
